sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,page_number,summary_text,summary_char_count,summary_word_count,para_id
"check that the rod is ﬁrmly placed to avoid the hood  accidentally falling. Closing the Hood  Remove the support rod: When you’re ﬁnished under the hood,  begin by carefully removing the support rod from the hole in the  hood. Slide it back into its original clamp to keep it secure and  out of the way. Be cautious when handling the support rod to  avoid any injury. Gently lower the hood: Once the support rod is properly  stowed, carefully lower the hood toward the engine bay. Take  your time to ensure that the hood is aligned with the frame and  the latch mechanism. Avoid letting the hood fall abruptly, as this  could cause damage to the vehicle or injury. Allow the hood to close securely: As you bring the hood down,  stop about 12 inches (30 cm) from the vehicle. Release your grip  and allow the hood to fall the rest of the way. The hood should  latch closed by itself with a soft but audible “click” when it  reaches the locked position.",942,172,231,1,the hood should latch closed by itself with a soft but audible “click” when it reaches the locked position. hood should latch closed by itself with a soft but audible “click” when it reaches the locked position.,211,37,e6c45229dc996b6ba2ecb9ddb251f77c5ee3f2de93cc1d9fbb4d72c0c21f1bf3
"If you feel any resistance, stop and  check for any obstruction. Ensure the hood is securely latched: To make sure the hood is  fully closed, give it a ﬁrm push down at the center, just above  the grill. If it does not latch properly, you might hear a slight  click or feel the resistance when you push. Check that the hood  is securely locked in place by gently pulling on it. If it can still be  lifted without lifting the latch lever inside, the hood is not fully  closed. Notice:. FragglesX700HCM 2022                                                                                                                                                                       1  Opening the Hood  Ensure the vehicle is parked on a ﬂat, level surface: Before  opening the hood, make sure the vehicle is on solid ground. This  will prevent any instability while you're working around the  engine bay, especially if the vehicle is in gear or if you're  performing maintenance. Engage the parking brake: For safety, always engage the parking  brake to prevent the vehicle from rolling. This is particularly  important if the vehicle is on a slight incline.",1139,171,281,1,"if you feel any resistance, stop and check for any obstruction. check that the hood is securely locked in place by gently pulling on it. if it does not latch properly, you might hear a slight click or feel the resistance.",221,41,69dedd5e3d5bbf7c8e9a12176d60789e110a65cd533d2621cc35e6b5993886a6
"Pull the hood release handle: The hood release handle is  typically located in the lower left corner of the driver’s side  dashboard, near the door. It may be a lever or a pull cord,  depending on the make and model of your vehicle. Pull the  handle ﬁrmly to release the initial lock and slightly raise the  hood. Release the hood latch: Once the hood has popped up slightly,  you will need to go to the front of the vehicle. In the center of  the hood, there is usually a safety latch or lever (often near the  grille) that secures the hood in place. Slide or lift this latch to  fully disengage the hood’s locking mechanism. Lift the hood: After releasing the safety latch, carefully lift the  hood. Depending on the vehicle, the hood may be heavy, so  ensure you're lifting with both hands, keeping your back  straight. Once the hood is fully open, it should remain in an  upright position without much eﬀort. Use the support rod: Most vehicles have a metal support rod  that holds the hood open.",990,179,244,1,"the hood release handle is typically located in the lower left corner of the driver’s side dashboard, near the door. it may be a lever or pull cord, depending on the make and model of your vehicle. slide or lift the latch to fully disengage the hood’s locking mechanism.",270,49,fc843f5ed9e92f0a42868ed7813e7c197902b5f2194f87342704a0298b8370a2
The support rod is typically located  on the underside of the hood or along the side of the engine  bay. Grasp the rod by its grip and lift it out of its retaining clamp. Place the opposite end of the rod into the designated hole or  notch on the underside of the hood to securely hold it in place. Double,302,60,74,1,the support rod is typically located on the underside of the hood or along the side of the engine bay. grasp the rod by its grip and lift it out of its retaining clamp. place the opposite end of the rod into the designated hole or notch on the underside of the hood.,266,53,0c927bca6c80fe20d270cb43d62ea95099483181509007b30551f1542afd339c
"Genuine FragglesX700HCM Motor Oil (for optimal performance)  •  Premium-quality 0W-20 detergent oil with the API Certiﬁcation  Seal: This type of oil helps keep the engine clean by preventing  the build-up of sludge and deposits, which can impact engine  eﬃciency over time. Synthetic Oil  Synthetic Motor Oil: Synthetic oil is an excellent alternative to  conventional motor oils. It’s designed to oﬀer superior performance,  especially in extreme temperatures. If you choose to use synthetic  oil, ensure it carries the API Certiﬁcation Seal and meets the  recommended viscosity grade for your vehicle. Engine Oil Additives  Your vehicle is engineered to perform optimally with the  recommended motor oil and does not require any additional oil  additives. In fact, using oil additives can be detrimental to engine  performance and may cause issues like increased engine wear or  poor lubrication. Stick to the recommended oil for best results and  avoid unnecessary additives unless speciﬁcally instructed by a  mechanic. Oil Check  Regularly checking the engine oil level is crucial for keeping your  engine running smoothly. It is recommended to check the oil level  each time you refuel, as part of your regular maintenance routine.. FragglesX700HCM 2022                                                                                                                                                                       2  Wiper Arms Warning: Never attempt to open the hood when  the windshield wiper arms are raised. Doing so can cause  damage to both the wiper blades and the hood.",1581,219,393,2,"Genuine FragglesX700HCM Motor Oil carries the API Certification Seal. this type of oil helps keep the engine clean by preventing build-up of sludge and deposits. if you choose to use synthetic oil, ensure it carries the API Certification Seal.",243,39,560865acae00a7a1c7b35d8567b972195079a68eddcf4085529025244a3b1ee7
"If the wipers  are in a raised position, ensure they are returned to their  normal resting position before opening the hood. Latch Mechanism Maintenance: If you encounter diﬃculty  moving the latch lever or the hood does not stay closed  properly, the latch mechanism might be dirty or in need of  lubrication. Regularly inspect the latch for any debris, dirt, or  rust. Clean it carefully and apply a suitable lubricant (such as  silicone spray) to ensure smooth operation. A properly  functioning hood latch is essential for safety and to avoid  accidental openings while driving. Recommended Engine Oil  Engine oil is vital for maintaining your vehicle’s engine performance,  eﬃciency, and longevity. It lubricates engine parts, reduces friction,  and helps dissipate heat, all of which prevent excessive wear and  tear. Using the correct type and amount of engine oil is essential;  insuﬃcient or degraded oil can result in severe engine damage, such  as overheating, poor lubrication, and even complete engine failure. Oil Speciﬁcations  API Certiﬁcation Seal: The oil you choose should have the API  (American Petroleum Institute) Certiﬁcation Seal, ensuring it meets  the latest performance and quality standards. Oils bearing this seal  have been tested and approved for proper engine function.",1293,198,319,2,"the latch mechanism may be dirty or in need of lubrication. regularly inspect the latch for any debris, dirt, or rust. a properly functioning hood latch is essential for safety and to avoid accidental openings while driving.",224,37,9ae97424b32af16af58db0ab7eefb651c64b8582af6842d239dba0ab433cc03c
Viscosity: It’s crucial to use oil with the correct viscosity grade suited  to the environmental conditions where you’re driving. Viscosity  refers to the oil's thickness and its ability to ﬂow at diﬀerent  temperatures. Always check your owner's manual for the  recommended viscosity based on local temperature ranges. Recommended Oil for Your Vehicle:,350,52,86,2,Viscosity refers to the oil's thickness and its ability to flow at different temperatures. always check your owner's manual for the recommended viscosity based on local temperature ranges. recommended oil for your vehicle:,222,33,8d141c72b969399984c5d755cae9fbe7aa0a4333c61001851c9f118753f60a70
"FragglesX700HCM 2022                                                                                                                                                                       3  Steps for Checking Oil Level:  1. Park the Vehicle on a Level Surface: Ensure the vehicle is  parked on a ﬂat, level surface to get an accurate reading of  the oil level. Parking on an incline can cause inaccurate  readings. 2. Wait for Three Minutes: After turning oﬀ the engine, wait  for about 3 minutes before checking the oil. This allows the  oil to settle back into the oil pan, providing a more accurate  measurement of the oil level. 3. Remove the Dipstick: The dipstick is typically located near  the front of the engine bay and usually has an orange or  brightly colored handle for easy identiﬁcation. Pull the  dipstick out of its tube carefully. 4.",842,119,206,3,parking on an incline can cause inaccurate readings. wait for three minutes before checking the oil. remove the dipstick: the dipstick is typically located near the front of the engine bay. remove the dipstick: the dipstick is usually located near the front of the engine bay.,276,46,88a199dafc9b76c5f242b43d40d11ee48b77d8c538f52e5b92ba560f656f9f2d
"Wipe the Dipstick Clean: Using a clean cloth or paper towel,  wipe the dipstick thoroughly to remove any oil residue. This  ensures that you can see a clear reading of the oil level on  the dipstick. 5. Reinsert the Dipstick Fully: Reinsert the dipstick back into its  tube all the way down to its base. This ensures you get an  accurate reading when you remove it again. 6. Remove and Check the Oil Level: Pull the dipstick out once  more and check the oil level. The oil should be between the  upper (MAX) and lower (MIN) marks on the dipstick. If the  oil is near or below the lower mark, you’ll need to add oil. o  Oil Level Low: If the oil level is low, add oil  immediately to avoid damage.",687,131,169,3,"Wipe the Dipstick Clean: Using a clean cloth or paper towel, wipe the dipstick thoroughly to remove any oil residue. this ensures that you can see a clear reading when you remove it again. remove and check the oil level: Pull the dipstick out once more and check the oil level.",277,51,83c4d5fc9eb19b64efbfd8861201ea24fd1cc04a5d162b4a0948b764139093ae
"Be sure to check the  oil frequently if you notice the level dropping  consistently, as this could indicate a leak or other  issues. o  Avoid Overﬁlling: If the oil level is near the upper  mark, avoid adding oil unless necessary. Overﬁlling  can lead to problems like oil leaks or engine  overheating. Adding Engine Oil  If your oil level is low, follow these steps to safely add the  recommended oil:  1. Unscrew and Remove the Oil Fill Cap: The engine oil ﬁll cap  is usually located on top of the engine, near the front. It’s  typically labeled with an oil can symbol. Unscrew the cap  carefully, and set it aside. 2. Add Oil Slowly: Using a funnel, slowly pour the  recommended oil into the engine. Take care not to overﬁll,  as it’s better to add a small amount, recheck the level, and  add more if necessary.",806,145,197,3,"o Avoid overfilling: if oil level is near the upper mark, avoid adding oil unless necessary. overfilling can lead to problems like oil leaks or engine overheating. unscrew and remove the oil fill cap: The engine oil fill cap is usually located on top of the engine, near the front.",281,50,42389ef4fb704c383b1ed63183a81e66667f9f31129c35f9784e47b495d3857e
